"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"REF**";"OSHW-Logo2_9.8x8mm_SilkScreen";1;"OSHW-Logo2_9.8x8mm_SilkScreen";;;
2;"G***";"Mimosa-Logo";1;"LOGO";;;
3;"C1";"CP_Elec_10x12.5";1;"150uF";;;
4;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"CAT24C32";;;
5;"J5,J1";"TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal";2;"Screw_Terminal_01x04";;;
6;"J4,J2";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";2;"Screw_Terminal_01x02";;;
7;"Y1";"Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal";1;"32.768 kHz";;;
8;"U7";"VSSOP-8_2.4x2.1mm_P0.5mm";1;"TXB0102DCU";;;
9;"R20";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
10;"C27,C26,C25,C20,C8,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"100nF";;;
11;"R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"DNP";;;
12;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ADM3490ExR";;;
13;"D1";"SOT-23";1;"D_TVS_x2_AAC";;;
14;"R29,R23";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10K";;;
15;"R24";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47K";;;
16;"R19,R18,R17,R16";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10k";;;
17;"R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1.5k";;;
18;"R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"8k";;;
19;"R13,R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"60R";;;
20;"R10,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R_Small";;;
21;"R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"NC";;;
22;"R8,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"3.9K";;;
23;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"TBD";;;
24;"R4,R3,R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"R";;;
25;"C24,C23";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"30pF";;;
26;"C22,C21";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"nc";;;
27;"C19";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47pF";;;
28;"C18,C17,C9,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"47nF";;;
29;"C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47uF";;;
30;"C13,C12,C11,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"C";;;
31;"C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470nF";;;
32;"C4,C3,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10uF";;;
33;"Y2";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering";1;"8MHz";;;
34;"U6";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
35;"U5";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm";1;"AB0805";;;
36;"M1";"FanPinHeader_1x04_P2.54mm_Vertical";1;"Fan_Tacho_PWM";;;
37;"BT1";"BatteryHolder_Keystone_2998_1x6.8mm";1;"Battery_Cell";;;
38;"U4";"Texas_NDY0011A";1;"LMZ13608";;;
39;"U3";"TSOT-23-8_HandSoldering";1;"TCAN330";;;
40;"C15,C14";"CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder";2;"330uF";;;
41;"J3";"PinSocket_2x20_P2.54mm_Vertical";1;"40HAT";;;
42;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"CONN_01X02";;;
43;"Q1";"SOT-23";1;"DMG2305UX";;;
44;"Q2";"SOT-23-6";1;"DMMT5401";;;
45;"H1,H2,H3,H4";"NPTH_3mm_ID";4;"3mm_Mounting_Hole";;;
